F.G.Perey et al, Rept: Oak Ridge National Lab. Reports, No.4823 (1972)
NatO(n,tot)
MeV          Barns       Error (Barns)   
0.32251      3.568       0.17        
0.32273      3.153       0.157       
0.32294      3.28        0.165       
0.32316      3.477       0.169       
0.32337      3.569       0.162       
0.32359      3.45        0.159       
0.3238       3.694       0.169       
0.32402      3.457       0.158       
0.32423      3.548       0.162       
0.32445      3.769       0.166       
0.32466      3.365       0.176       
0.32488      3.178       0.158       
0.3251       3.775       0.185       
0.32531      3.722       0.19        
0.32553      3.496       0.174       
0.32575      3.298       0.163       
0.32597      3.326       0.156       
0.32618      3.312       0.154       
0.3264       3.483       0.16        
0.32662      3.365       0.158       
0.32684      3.57        0.168       
0.32706      3.591       0.169       
0.32727      3.181       0.158       
0.32749      3.373       0.17        
0.32771      3.521       0.18        
0.32793      3.678       0.179       
0.32815      3.361       0.172       
0.32837      3.413       0.163       
0.32859      3.643       0.176       
0.32881      3.759       0.173       
0.32903      3.787       0.179       
0.32925      3.247       0.161       
0.32947      3.276       0.158       
0.3297       3.296       0.157       
0.32992      3.485       0.165       
0.33014      3.551       0.158       
0.33036      3.654       0.159       
0.33058      3.567       0.162       
0.3308       3.569       0.161       
0.33103      3.424       0.151       
0.33125      3.507       0.152       
