#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        1.0796       2.4005     0.039393  # 2001,W.P.Abfalterer+     ## 13794002
        1.0814       2.3989     0.039931  # 2001,W.P.Abfalterer+     ## 13794002
        1.0831       2.4391     0.040408  # 2001,W.P.Abfalterer+     ## 13794002
        1.0849       2.4248     0.039964  # 2001,W.P.Abfalterer+     ## 13794002
        1.0867       2.3959     0.039533  # 2001,W.P.Abfalterer+     ## 13794002
        1.0884       2.4462     0.039014  # 2001,W.P.Abfalterer+     ## 13794002
        1.0902       2.3981     0.038354  # 2001,W.P.Abfalterer+     ## 13794002
         1.092       2.3829     0.038348  # 2001,W.P.Abfalterer+     ## 13794002
        1.0938       2.3819      0.03853  # 2001,W.P.Abfalterer+     ## 13794002
        1.0956       2.3714     0.038793  # 2001,W.P.Abfalterer+     ## 13794002
        1.0974       2.3825     0.038611  # 2001,W.P.Abfalterer+     ## 13794002
        1.0991       2.3102     0.038948  # 2001,W.P.Abfalterer+     ## 13794002
         1.101       2.4554     0.040104  # 2001,W.P.Abfalterer+     ## 13794002
        1.1028       2.4073     0.039268  # 2001,W.P.Abfalterer+     ## 13794002
        1.1046       2.3886     0.039751  # 2001,W.P.Abfalterer+     ## 13794002
        1.1064       2.4447     0.039207  # 2001,W.P.Abfalterer+     ## 13794002
        1.1082       2.4034     0.039405  # 2001,W.P.Abfalterer+     ## 13794002
          1.11       2.4156     0.040128  # 2001,W.P.Abfalterer+     ## 13794002
        1.1119       2.3417     0.039763  # 2001,W.P.Abfalterer+     ## 13794002
        1.1137       2.4317     0.041228  # 2001,W.P.Abfalterer+     ## 13794002
        1.1156       2.4462     0.042906  # 2001,W.P.Abfalterer+     ## 13794002
        1.1174       2.3914     0.042876  # 2001,W.P.Abfalterer+     ## 13794002
        1.1192       2.3888     0.044596  # 2001,W.P.Abfalterer+     ## 13794002
        1.1211       2.3758     0.043972  # 2001,W.P.Abfalterer+     ## 13794002
        1.1229       2.3437     0.042481  # 2001,W.P.Abfalterer+     ## 13794002
        1.1248       2.3057     0.042344  # 2001,W.P.Abfalterer+     ## 13794002
        1.1267       2.3874     0.041765  # 2001,W.P.Abfalterer+     ## 13794002
        1.1286       2.3779     0.040163  # 2001,W.P.Abfalterer+     ## 13794002
        1.1304       2.3809     0.039147  # 2001,W.P.Abfalterer+     ## 13794002
        1.1323       2.3533     0.037611  # 2001,W.P.Abfalterer+     ## 13794002
        1.1342       2.3562     0.036421  # 2001,W.P.Abfalterer+     ## 13794002
        1.1361       2.4062     0.036891  # 2001,W.P.Abfalterer+     ## 13794002
         1.138        2.353     0.036472  # 2001,W.P.Abfalterer+     ## 13794002
        1.1399       2.3953     0.035387  # 2001,W.P.Abfalterer+     ## 13794002
        1.1418       2.3506     0.034677  # 2001,W.P.Abfalterer+     ## 13794002
        1.1437       2.3101     0.034257  # 2001,W.P.Abfalterer+     ## 13794002
        1.1456       2.3067     0.034322  # 2001,W.P.Abfalterer+     ## 13794002
        1.1475       2.3467     0.034645  # 2001,W.P.Abfalterer+     ## 13794002
        1.1495       2.3771     0.034108  # 2001,W.P.Abfalterer+     ## 13794002
        1.1514       2.3429     0.033436  # 2001,W.P.Abfalterer+     ## 13794002
        1.1533       2.3635     0.033751  # 2001,W.P.Abfalterer+     ## 13794002
